xi,eta,w
3.3333333333333331e-01,3.3333333333333331e-01,4.0468714398811438e-02
4.2727317884677551e-01,4.2727317884677551e-01,3.8649294001481559e-02
4.2727317884677551e-01,1.4545364230644897e-01,3.8649294001481559e-02
1.4545364230644897e-01,4.2727317884677551e-01,3.8649294001481559e-02
1.8309922244867502e-01,1.8309922244867502e-01,3.9228819306185866e-02
1.8309922244867502e-01,6.3380155510264991e-01,3.9228819306185866e-02
6.3380155510264991e-01,1.8309922244867502e-01,3.9228819306185866e-02
4.9043401970113060e-01,4.9043401970113060e-01,8.7345839979647427e-03
4.9043401970113060e-01,1.9131960597738806e-02,8.7345839979647427e-03
1.9131960597738806e-02,4.9043401970113060e-01,8.7345839979647427e-03
1.2572445551580533e-02,1.2572445551580533e-02,2.1461870924164139e-03
1.2572445551580533e-02,9.7485510889683891e-01,2.1461870924164139e-03
9.7485510889683891e-01,1.2572445551580533e-02,2.1461870924164139e-03
6.5426866792006610e-01,3.0804600168524771e-01,1.8734429105233822e-02
3.7685330394686190e-02,6.5426866792006610e-01,1.8734429105233822e-02
3.0804600168524771e-01,3.7685330394686190e-02,1.8734429105233822e-02
3.0804600168524771e-01,6.5426866792006610e-01,1.8734429105233822e-02
3.7685330394686190e-02,3.0804600168524771e-01,1.8734429105233822e-02
6.5426866792006610e-01,3.7685330394686190e-02,1.8734429105233822e-02
1.2280457706855927e-01,3.3371833739304788e-02,1.3474676295939981e-02
8.4382358919213596e-01,1.2280457706855927e-01,1.3474676295939981e-02
3.3371833739304788e-02,8.4382358919213596e-01,1.3474676295939981e-02
3.3371833739304788e-02,1.2280457706855927e-01,1.3474676295939981e-02
8.4382358919213596e-01,3.3371833739304788e-02,1.3474676295939981e-02
1.2280457706855927e-01,8.4382358919213596e-01,1.3474676295939981e-02
