xi,eta,w
3.3333333333333331e-01,3.3333333333333331e-01,4.0588980148433582e-02
3.0938355245430784e-02,3.0938355245430784e-02,6.1620217534547467e-03
3.0938355245430784e-02,9.3812328950913848e-01,6.1620217534547467e-03
9.3812328950913848e-01,3.0938355245430784e-02,6.1620217534547467e-03
4.3649818113412886e-01,4.3649818113412886e-01,3.1414004872205054e-02
4.3649818113412886e-01,1.2700363773174228e-01,3.1414004872205054e-02
1.2700363773174228e-01,4.3649818113412886e-01,3.1414004872205054e-02
4.9898476370259326e-01,4.9898476370259326e-01,6.1101895246822649e-03
4.9898476370259326e-01,2.0304725948134816e-03,6.1101895246822649e-03
2.0304725948134816e-03,4.9898476370259326e-01,6.1101895246822649e-03
2.1468819795859434e-01,2.1468819795859434e-01,3.3850674476405752e-02
2.1468819795859434e-01,5.7062360408281132e-01,3.3850674476405752e-02
5.7062360408281132e-01,2.1468819795859434e-01,3.3850674476405752e-02
1.1368310404211339e-01,1.1368310404211339e-01,2.0109846814425847e-02
1.1368310404211339e-01,7.7263379191577319e-01,2.0109846814425847e-02
7.7263379191577319e-01,1.1368310404211339e-01,2.0109846814425847e-02
8.2561876616486285e-01,1.5974230459185018e-01,7.3811363588580509e-03
1.4638929243286969e-02,8.2561876616486285e-01,7.3811363588580509e-03
1.5974230459185018e-01,1.4638929243286969e-02,7.3811363588580509e-03
1.5974230459185018e-01,8.2561876616486285e-01,7.3811363588580509e-03
1.4638929243286969e-02,1.5974230459185018e-01,7.3811363588580509e-03
8.2561876616486285e-01,1.4638929243286969e-02,7.3811363588580509e-03
6.4047231013486527e-01,3.1178371570959901e-01,2.0363998229149520e-02
4.7743974155535718e-02,6.4047231013486527e-01,2.0363998229149520e-02
3.1178371570959901e-01,4.7743974155535718e-02,2.0363998229149520e-02
3.1178371570959901e-01,6.4047231013486527e-01,2.0363998229149520e-02
4.7743974155535718e-02,3.1178371570959901e-01,2.0363998229149520e-02
6.4047231013486527e-01,4.7743974155535718e-02,2.0363998229149520e-02
