xi,eta,w
3.3333333333333331e-01,3.3333333333333331e-01,2.2378435722172314e-02
9.5698508862710946e-02,9.5698508862710946e-02,8.6834425133738985e-03
9.5698508862710946e-02,8.0860298227457816e-01,8.6834425133738985e-03
8.0860298227457816e-01,9.5698508862710946e-02,8.6834425133738985e-03
1.7013863967877543e-01,1.7013863967877543e-01,1.5299674038051766e-02
1.7013863967877543e-01,6.5972272064244919e-01,1.5299674038051766e-02
6.5972272064244919e-01,1.7013863967877543e-01,1.5299674038051766e-02
4.1802068586795499e-01,4.1802068586795499e-01,1.4293854289299890e-02
4.1802068586795499e-01,1.6395862826409002e-01,1.4293854289299890e-02
1.6395862826409002e-01,4.1802068586795499e-01,1.4293854289299890e-02
4.9658148050662493e-01,4.9658148050662493e-01,3.3237159648768465e-03
4.9658148050662493e-01,6.8370389867501435e-03,3.3237159648768465e-03
6.8370389867501435e-03,4.9658148050662493e-01,3.3237159648768465e-03
4.1662114828807641e-02,4.1662114828807641e-02,3.7380947010092558e-03
4.1662114828807641e-02,9.1667577034238468e-01,3.7380947010092558e-03
9.1667577034238468e-01,4.1662114828807641e-02,3.7380947010092558e-03
4.6793290572942359e-01,4.6793290572942359e-01,1.2524993251919372e-02
4.6793290572942359e-01,6.4134188541152826e-02,1.2524993251919372e-02
6.4134188541152826e-02,4.6793290572942359e-01,1.2524993251919372e-02
9.6953119890372208e-01,2.8925091620218245e-02,7.3990544605982245e-04
1.5437094760596751e-03,9.6953119890372208e-01,7.3990544605982245e-04
2.8925091620218245e-02,1.5437094760596751e-03,7.3990544605982245e-04
2.8925091620218245e-02,9.6953119890372208e-01,7.3990544605982245e-04
1.5437094760596751e-03,2.8925091620218245e-02,7.3990544605982245e-04
9.6953119890372208e-01,1.5437094760596751e-03,7.3990544605982245e-04
7.5972438753862415e-01,2.3444175526356878e-01,2.5605681233740532e-03
5.8338571978070741e-03,7.5972438753862415e-01,2.5605681233740532e-03
2.3444175526356878e-01,5.8338571978070741e-03,2.5605681233740532e-03
2.3444175526356878e-01,7.5972438753862415e-01,2.5605681233740532e-03
5.8338571978070741e-03,2.3444175526356878e-01,2.5605681233740532e-03
7.5972438753862415e-01,5.8338571978070741e-03,2.5605681233740532e-03
2.9549931696830151e-01,4.9591124666075359e-01,1.3658679684796404e-02
2.0858943637094485e-01,2.9549931696830151e-01,1.3658679684796404e-02
4.9591124666075359e-01,2.0858943637094485e-01,1.3658679684796404e-02
4.9591124666075359e-01,2.9549931696830151e-01,1.3658679684796404e-02
2.0858943637094485e-01,4.9591124666075359e-01,1.3658679684796404e-02
2.9549931696830151e-01,2.0858943637094485e-01,1.3658679684796404e-02
6.2560638215769704e-01,3.5341769454149707e-01,7.0028643379546410e-03
2.0975923300805888e-02,6.2560638215769704e-01,7.0028643379546410e-03
3.5341769454149707e-01,2.0975923300805888e-02,7.0028643379546410e-03
3.5341769454149707e-01,6.2560638215769704e-01,7.0028643379546410e-03
2.0975923300805888e-02,3.5341769454149707e-01,7.0028643379546410e-03
6.2560638215769704e-01,2.0975923300805888e-02,7.0028643379546410e-03
8.7217444723318482e-01,1.1272864181421977e-01,3.9046378487291801e-03
1.5096910952595410e-02,8.7217444723318482e-01,3.9046378487291801e-03
1.1272864181421977e-01,1.5096910952595410e-02,3.9046378487291801e-03
1.1272864181421977e-01,8.7217444723318482e-01,3.9046378487291801e-03
1.5096910952595410e-02,1.1272864181421977e-01,3.9046378487291801e-03
8.7217444723318482e-01,1.5096910952595410e-02,3.9046378487291801e-03
7.4751231944000607e-01,1.9907027879785788e-01,9.0828642298958363e-03
5.3417401762136052e-02,7.4751231944000607e-01,9.0828642298958363e-03
1.9907027879785788e-01,5.3417401762136052e-02,9.0828642298958363e-03
1.9907027879785788e-01,7.4751231944000607e-01,9.0828642298958363e-03
5.3417401762136052e-02,1.9907027879785788e-01,9.0828642298958363e-03
7.4751231944000607e-01,5.3417401762136052e-02,9.0828642298958363e-03
5.9886879088323808e-01,3.0358518307132609e-01,1.3722186996229164e-02
9.7546026045435830e-02,5.9886879088323808e-01,1.3722186996229164e-02
3.0358518307132609e-01,9.7546026045435830e-02,1.3722186996229164e-02
3.0358518307132609e-01,5.9886879088323808e-01,1.3722186996229164e-02
9.7546026045435830e-02,3.0358518307132609e-01,1.3722186996229164e-02
5.9886879088323808e-01,9.7546026045435830e-02,1.3722186996229164e-02
