xi,eta,w
7.3270886464382831e-02,7.3270886464382831e-02,6.9889308226430101e-03
7.3270886464382831e-02,8.5345822707123431e-01,6.9889308226430101e-03
8.5345822707123431e-01,7.3270886464382831e-02,6.9889308226430101e-03
3.9177489832282319e-03,3.9177489832282319e-03,2.7745348960660687e-04
3.9177489832282319e-03,9.9216450203354356e-01,2.7745348960660687e-04
9.9216450203354356e-01,3.9177489832282319e-03,2.7745348960660687e-04
4.6759731898871104e-01,4.6759731898871104e-01,1.0513406909852335e-02
4.6759731898871104e-01,6.4805362022577917e-02,1.0513406909852335e-02
6.4805362022577917e-02,4.6759731898871104e-01,1.0513406909852335e-02
4.1791621096741133e-01,4.1791621096741133e-01,1.7009106089963848e-02
4.1791621096741133e-01,1.6416757806517734e-01,1.7009106089963848e-02
1.6416757806517734e-01,4.1791621096741133e-01,1.7009106089963848e-02
1.6538169336028949e-01,5.6369670566087071e-01,1.3955082902387497e-02
2.7092160097883977e-01,1.6538169336028949e-01,1.3955082902387497e-02
5.6369670566087071e-01,2.7092160097883977e-01,1.3955082902387497e-02
5.6369670566087071e-01,1.6538169336028949e-01,1.3955082902387497e-02
2.7092160097883977e-01,5.6369670566087071e-01,1.3955082902387497e-02
1.6538169336028949e-01,2.7092160097883977e-01,1.3955082902387497e-02
2.8750089440578397e-01,2.8604232613920477e-01,9.1073430635754335e-03
4.2645677945501126e-01,2.8750089440578397e-01,9.1073430635754335e-03
2.8604232613920477e-01,4.2645677945501126e-01,9.1073430635754335e-03
2.8604232613920477e-01,2.8750089440578397e-01,9.1073430635754335e-03
4.2645677945501126e-01,2.8604232613920477e-01,9.1073430635754335e-03
2.8750089440578397e-01,4.2645677945501126e-01,9.1073430635754335e-03
1.2588931431982481e-01,6.9604321864246121e-01,7.1335118290548963e-03
1.7806746703771403e-01,1.2588931431982481e-01,7.1335118290548963e-03
6.9604321864246121e-01,1.7806746703771403e-01,7.1335118290548963e-03
6.9604321864246121e-01,1.2588931431982481e-01,7.1335118290548963e-03
1.7806746703771403e-01,6.9604321864246121e-01,7.1335118290548963e-03
1.2588931431982481e-01,1.7806746703771403e-01,7.1335118290548963e-03
6.3221915946502616e-02,7.6054555188768247e-01,7.1185615453375249e-03
1.7623253216581491e-01,6.3221915946502616e-02,7.1185615453375249e-03
7.6054555188768247e-01,1.7623253216581491e-01,7.1185615453375249e-03
7.6054555188768247e-01,6.3221915946502616e-02,7.1185615453375249e-03
1.7623253216581491e-01,7.6054555188768247e-01,7.1185615453375249e-03
6.3221915946502616e-02,1.7623253216581491e-01,7.1185615453375249e-03
7.8910227454020515e-02,5.9201963127175861e-01,9.6287919273373938e-03
3.2907014127422085e-01,7.8910227454020515e-02,9.6287919273373938e-03
5.9201963127175861e-01,3.2907014127422085e-01,9.6287919273373938e-03
5.9201963127175861e-01,7.8910227454020515e-02,9.6287919273373938e-03
3.2907014127422085e-01,5.9201963127175861e-01,9.6287919273373938e-03
7.8910227454020515e-02,3.2907014127422085e-01,9.6287919273373938e-03
3.8058053506785712e-02,6.8368125963599991e-01,4.8525661421903203e-03
2.7826068685721439e-01,3.8058053506785712e-02,4.8525661421903203e-03
6.8368125963599991e-01,2.7826068685721439e-01,4.8525661421903203e-03
6.8368125963599991e-01,3.8058053506785712e-02,4.8525661421903203e-03
2.7826068685721439e-01,6.8368125963599991e-01,4.8525661421903203e-03
3.8058053506785712e-02,2.7826068685721439e-01,4.8525661421903203e-03
1.4290352130454025e-02,8.5170403713705578e-01,3.8148940671660645e-03
1.3400561073249018e-01,1.4290352130454025e-02,3.8148940671660645e-03
8.5170403713705578e-01,1.3400561073249018e-01,3.8148940671660645e-03
8.5170403713705578e-01,1.4290352130454025e-02,3.8148940671660645e-03
1.3400561073249018e-01,8.5170403713705578e-01,3.8148940671660645e-03
1.4290352130454025e-02,1.3400561073249018e-01,3.8148940671660645e-03
1.2967272343253173e-02,5.7473249288814898e-01,5.3093695681751723e-03
4.1230023476859790e-01,1.2967272343253173e-02,5.3093695681751723e-03
5.7473249288814898e-01,4.1230023476859790e-01,5.3093695681751723e-03
5.7473249288814898e-01,1.2967272343253173e-02,5.3093695681751723e-03
4.1230023476859790e-01,5.7473249288814898e-01,5.3093695681751723e-03
1.2967272343253173e-02,4.1230023476859790e-01,5.3093695681751723e-03
7.6485948208408995e-03,7.3551044083072925e-01,2.8553349016379194e-03
2.5684096434842985e-01,7.6485948208408995e-03,2.8553349016379194e-03
7.3551044083072925e-01,2.5684096434842985e-01,2.8553349016379194e-03
7.3551044083072925e-01,7.6485948208408995e-03,2.8553349016379194e-03
2.5684096434842985e-01,7.3551044083072925e-01,2.8553349016379194e-03
7.6485948208408995e-03,2.5684096434842985e-01,2.8553349016379194e-03
1.2710460572255469e-02,9.3934508764373181e-01,2.1634287304382093e-03
4.7944451784012743e-02,1.2710460572255469e-02,2.1634287304382093e-03
9.3934508764373181e-01,4.7944451784012743e-02,2.1634287304382093e-03
9.3934508764373181e-01,1.2710460572255469e-02,2.1634287304382093e-03
4.7944451784012743e-02,9.3934508764373181e-01,2.1634287304382093e-03
1.2710460572255469e-02,4.7944451784012743e-02,2.1634287304382093e-03
