xi,eta,w
3.3333333333333331e-01,3.3333333333333331e-01,1.6453165694459326e-02
4.8960998707300635e-01,4.8960998707300635e-01,5.1653659456360268e-03
4.8960998707300635e-01,2.0780025853987305e-02,5.1653659456360268e-03
2.0780025853987305e-02,4.8960998707300635e-01,5.1653659456360268e-03
4.5453689269789266e-01,4.5453689269789266e-01,1.1193623631508196e-02
4.5453689269789266e-01,9.0926214604214683e-02,1.1193623631508196e-02
9.0926214604214683e-02,4.5453689269789266e-01,1.1193623631508196e-02
4.0141668064943120e-01,4.0141668064943120e-01,1.5133062934734036e-02
4.0141668064943120e-01,1.9716663870113760e-01,1.5133062934734036e-02
1.9716663870113760e-01,4.0141668064943120e-01,1.5133062934734036e-02
2.5555165440309763e-01,2.5555165440309763e-01,1.5245483901098891e-02
2.5555165440309763e-01,4.8889669119380474e-01,1.5245483901098891e-02
4.8889669119380474e-01,2.5555165440309763e-01,1.5245483901098891e-02
1.7707794215212955e-01,1.7707794215212955e-01,1.2079606370820452e-02
1.7707794215212955e-01,6.4584411569574085e-01,1.2079606370820452e-02
6.4584411569574085e-01,1.7707794215212955e-01,1.2079606370820452e-02
1.1006105322795186e-01,1.1006105322795186e-01,8.0254017934004371e-03
1.1006105322795186e-01,7.7987789354409631e-01,8.0254017934004371e-03
7.7987789354409631e-01,1.1006105322795186e-01,8.0254017934004371e-03
5.5528624251839673e-02,5.5528624251839673e-02,4.0422901308920303e-03
5.5528624251839673e-02,8.8894275149632063e-01,4.0422901308920303e-03
8.8894275149632063e-01,5.5528624251839673e-02,4.0422901308920303e-03
1.2621863777228669e-02,1.2621863777228669e-02,1.0396810137423905e-03
1.2621863777228669e-02,9.7475627244554264e-01,1.0396810137423905e-03
9.7475627244554264e-01,1.2621863777228669e-02,1.0396810137423905e-03
6.0063379479464496e-01,3.9575478735694286e-01,1.9424384524906950e-03
3.6114178484121795e-03,6.0063379479464496e-01,1.9424384524906950e-03
3.9575478735694286e-01,3.6114178484121795e-03,1.9424384524906950e-03
3.9575478735694286e-01,6.0063379479464496e-01,1.9424384524906950e-03
3.6114178484121795e-03,3.9575478735694286e-01,1.9424384524906950e-03
6.0063379479464496e-01,3.6114178484121795e-03,1.9424384524906950e-03
1.3446675453077978e-01,5.5760326158878393e-01,1.2787080306010952e-02
3.0792998388043624e-01,1.3446675453077978e-01,1.2787080306010952e-02
5.5760326158878393e-01,3.0792998388043624e-01,1.2787080306010952e-02
5.5760326158878393e-01,1.3446675453077978e-01,1.2787080306010952e-02
3.0792998388043624e-01,5.5760326158878393e-01,1.2787080306010952e-02
1.3446675453077978e-01,3.0792998388043624e-01,1.2787080306010952e-02
7.2098702581736507e-01,2.6456694840652023e-01,4.4404517866690292e-03
1.4446025776114702e-02,7.2098702581736507e-01,4.4404517866690292e-03
2.6456694840652023e-01,1.4446025776114702e-02,4.4404517866690292e-03
2.6456694840652023e-01,7.2098702581736507e-01,4.4404517866690292e-03
1.4446025776114702e-02,2.6456694840652023e-01,4.4404517866690292e-03
7.2098702581736507e-01,1.4446025776114702e-02,4.4404517866690292e-03
5.9452706895587093e-01,3.5853935220595057e-01,8.0622733808656949e-03
4.6933578838178502e-02,5.9452706895587093e-01,8.0622733808656949e-03
3.5853935220595057e-01,4.6933578838178502e-02,8.0622733808656949e-03
3.5853935220595057e-01,5.9452706895587093e-01,8.0622733808656949e-03
4.6933578838178502e-02,3.5853935220595057e-01,8.0622733808656949e-03
5.9452706895587093e-01,4.6933578838178502e-02,8.0622733808656949e-03
8.3933147368083860e-01,1.5780740596859474e-01,1.2459709087453378e-03
2.8611203505666538e-03,8.3933147368083860e-01,1.2459709087453378e-03
1.5780740596859474e-01,2.8611203505666538e-03,1.2459709087453378e-03
1.5780740596859474e-01,8.3933147368083860e-01,1.2459709087453378e-03
2.8611203505666538e-03,1.5780740596859474e-01,1.2459709087453378e-03
8.3933147368083860e-01,2.8611203505666538e-03,1.2459709087453378e-03
2.2386142409791568e-01,7.0108797892617336e-01,9.1214200594752892e-03
7.5050596975910988e-02,2.2386142409791568e-01,9.1214200594752892e-03
7.0108797892617336e-01,7.5050596975910988e-02,9.1214200594752892e-03
7.0108797892617336e-01,2.2386142409791568e-01,9.1214200594752892e-03
7.5050596975910988e-02,7.0108797892617336e-01,9.1214200594752892e-03
2.2386142409791568e-01,7.5050596975910988e-02,9.1214200594752892e-03
8.2293132406985658e-01,1.4242160111338345e-01,5.1292818680992603e-03
3.4647074816759965e-02,8.2293132406985658e-01,5.1292818680992603e-03
1.4242160111338345e-01,3.4647074816759965e-02,5.1292818680992603e-03
1.4242160111338345e-01,8.2293132406985658e-01,5.1292818680992603e-03
3.4647074816759965e-02,1.4242160111338345e-01,5.1292818680992603e-03
8.2293132406985658e-01,3.4647074816759965e-02,5.1292818680992603e-03
9.2434425262078401e-01,6.5494628082937698e-02,1.8999644276509570e-03
1.0161119296278290e-02,9.2434425262078401e-01,1.8999644276509570e-03
6.5494628082937698e-02,1.0161119296278290e-02,1.8999644276509570e-03
6.5494628082937698e-02,9.2434425262078401e-01,1.8999644276509570e-03
1.0161119296278290e-02,6.5494628082937698e-02,1.8999644276509570e-03
9.2434425262078401e-01,1.0161119296278290e-02,1.8999644276509570e-03
