xi,eta,w
3.3333333333333331e-01,3.3333333333333331e-01,1.3781128476438240e-02
2.0093527706508529e-01,2.0093527706508529e-01,1.1030107706744251e-02
2.0093527706508529e-01,5.9812944586982941e-01,1.1030107706744251e-02
5.9812944586982941e-01,2.0093527706508529e-01,1.1030107706744251e-02
4.3765916596192717e-01,4.3765916596192717e-01,1.1730007969335744e-02
4.3765916596192717e-01,1.2468166807614567e-01,1.1730007969335744e-02
1.2468166807614567e-01,4.3765916596192717e-01,1.1730007969335744e-02
3.4339564905961767e-03,3.4339564905961767e-03,1.6344479752359526e-04
3.4339564905961767e-03,9.9313208701880762e-01,1.6344479752359526e-04
9.9313208701880762e-01,3.4339564905961767e-03,1.6344479752359526e-04
4.6643484775306755e-02,4.6643484775306755e-02,1.6326597314699840e-03
4.6643484775306755e-02,9.0671303044938645e-01,1.6326597314699840e-03
9.0671303044938645e-01,4.6643484775306755e-02,1.6326597314699840e-03
3.8642225176307149e-01,3.8642225176307149e-01,5.8782314577063991e-03
3.8642225176307149e-01,2.2715549647385702e-01,5.8782314577063991e-03
2.2715549647385702e-01,3.8642225176307149e-01,5.8782314577063991e-03
9.5435471108530914e-02,9.5435471108530914e-02,5.8903842099557588e-03
9.5435471108530914e-02,8.0912905778293820e-01,5.8903842099557588e-03
8.0912905778293820e-01,9.5435471108530914e-02,5.8903842099557588e-03
9.5551380335045633e-01,3.5718627873163357e-02,1.1344054094005703e-03
8.7675687763803176e-03,9.5551380335045633e-01,1.1344054094005703e-03
3.5718627873163357e-02,8.7675687763803176e-03,1.1344054094005703e-03
3.5718627873163357e-02,9.5551380335045633e-01,1.1344054094005703e-03
8.7675687763803176e-03,3.5718627873163357e-02,1.1344054094005703e-03
9.5551380335045633e-01,8.7675687763803176e-03,1.1344054094005703e-03
8.8663881342886819e-01,1.0814322491564621e-01,1.2980054822181600e-03
5.2179616554856034e-03,8.8663881342886819e-01,1.2980054822181600e-03
1.0814322491564621e-01,5.2179616554856034e-03,1.2980054822181600e-03
1.0814322491564621e-01,8.8663881342886819e-01,1.2980054822181600e-03
5.2179616554856034e-03,1.0814322491564621e-01,1.2980054822181600e-03
8.8663881342886819e-01,5.2179616554856034e-03,1.2980054822181600e-03
7.8426284588043416e-01,2.0746444959987645e-01,2.3172648929359299e-03
8.2727045196893945e-03,7.8426284588043416e-01,2.3172648929359299e-03
2.0746444959987645e-01,8.2727045196893945e-03,2.3172648929359299e-03
2.0746444959987645e-01,7.8426284588043416e-01,2.3172648929359299e-03
8.2727045196893945e-03,2.0746444959987645e-01,2.3172648929359299e-03
7.8426284588043416e-01,8.2727045196893945e-03,2.3172648929359299e-03
8.8292395505020005e-01,8.5684708720316943e-02,2.3971680272744291e-03
3.1391336229483008e-02,8.8292395505020005e-01,2.3971680272744291e-03
8.5684708720316943e-02,3.1391336229483008e-02,2.3971680272744291e-03
8.5684708720316943e-02,8.8292395505020005e-01,2.3971680272744291e-03
3.1391336229483008e-02,8.5684708720316943e-02,2.3971680272744291e-03
8.8292395505020005e-01,3.1391336229483008e-02,2.3971680272744291e-03
6.6899196444107722e-01,3.2149400301428882e-01,2.8562394183618057e-03
9.5140325446339546e-03,6.6899196444107722e-01,2.8562394183618057e-03
3.2149400301428882e-01,9.5140325446339546e-03,2.8562394183618057e-03
3.2149400301428882e-01,6.6899196444107722e-01,2.8562394183618057e-03
9.5140325446339546e-03,3.2149400301428882e-01,2.8562394183618057e-03
6.6899196444107722e-01,9.5140325446339546e-03,2.8562394183618057e-03
5.5207212103556091e-01,4.3794221879334139e-01,2.9329138021610608e-03
9.9856601710976989e-03,5.5207212103556091e-01,2.9329138021610608e-03
4.3794221879334139e-01,9.9856601710976989e-03,2.9329138021610608e-03
4.3794221879334139e-01,5.5207212103556091e-01,2.9329138021610608e-03
9.9856601710976989e-03,4.3794221879334139e-01,2.9329138021610608e-03
5.5207212103556091e-01,9.9856601710976989e-03,2.9329138021610608e-03
7.9759296559656856e-01,1.6191645306357785e-01,4.7068815295457939e-03
4.0490581339853587e-02,7.9759296559656856e-01,4.7068815295457939e-03
1.6191645306357785e-01,4.0490581339853587e-02,4.7068815295457939e-03
1.6191645306357785e-01,7.9759296559656856e-01,4.7068815295457939e-03
4.0490581339853587e-02,1.6191645306357785e-01,4.7068815295457939e-03
7.9759296559656856e-01,4.0490581339853587e-02,4.7068815295457939e-03
6.7751471511977146e-01,2.7450476740199492e-01,6.7074718983282126e-03
4.7980517478233620e-02,6.7751471511977146e-01,6.7074718983282126e-03
2.7450476740199492e-01,4.7980517478233620e-02,6.7074718983282126e-03
2.7450476740199492e-01,6.7751471511977146e-01,6.7074718983282126e-03
4.7980517478233620e-02,2.7450476740199492e-01,6.7074718983282126e-03
6.7751471511977146e-01,4.7980517478233620e-02,6.7074718983282126e-03
5.4299741558909165e-01,4.0533599807500692e-01,7.8584590460416236e-03
5.1666586335901432e-02,5.4299741558909165e-01,7.8584590460416236e-03
4.0533599807500692e-01,5.1666586335901432e-02,7.8584590460416236e-03
4.0533599807500692e-01,5.4299741558909165e-01,7.8584590460416236e-03
5.1666586335901432e-02,4.0533599807500692e-01,7.8584590460416236e-03
5.4299741558909165e-01,5.1666586335901432e-02,7.8584590460416236e-03
7.0545990556996852e-01,1.8773768065643534e-01,8.4318415072184520e-03
1.0680241377359614e-01,7.0545990556996852e-01,8.4318415072184520e-03
1.8773768065643534e-01,1.0680241377359614e-01,8.4318415072184520e-03
1.8773768065643534e-01,7.0545990556996852e-01,8.4318415072184520e-03
1.0680241377359614e-01,1.8773768065643534e-01,8.4318415072184520e-03
7.0545990556996852e-01,1.0680241377359614e-01,8.4318415072184520e-03
5.7480057306650845e-01,3.0569683476605519e-01,1.0695013542660049e-02
1.1950259216743636e-01,5.7480057306650845e-01,1.0695013542660049e-02
3.0569683476605519e-01,1.1950259216743636e-01,1.0695013542660049e-02
3.0569683476605519e-01,5.7480057306650845e-01,1.0695013542660049e-02
1.1950259216743636e-01,3.0569683476605519e-01,1.0695013542660049e-02
5.7480057306650845e-01,1.1950259216743636e-01,1.0695013542660049e-02
4.7177880850461484e-01,3.1214446687089087e-01,1.1538396094746340e-02
2.1607672462449429e-01,4.7177880850461484e-01,1.1538396094746340e-02
3.1214446687089087e-01,2.1607672462449429e-01,1.1538396094746340e-02
3.1214446687089087e-01,4.7177880850461484e-01,1.1538396094746340e-02
2.1607672462449429e-01,3.1214446687089087e-01,1.1538396094746340e-02
4.7177880850461484e-01,2.1607672462449429e-01,1.1538396094746340e-02
