xi,eta,w
3.3333333333333331e-01,3.3333333333333331e-01,2.4011094340188544e-02
8.1794983131373872e-02,8.1794983131373872e-02,7.3545501534009634e-03
8.1794983131373872e-02,8.3641003373725220e-01,7.3545501534009634e-03
8.3641003373725220e-01,8.1794983131373872e-02,7.3545501534009634e-03
1.6530060196977964e-01,1.6530060196977964e-01,1.4772293274659627e-02
1.6530060196977964e-01,6.6939879606044073e-01,1.4772293274659627e-02
6.6939879606044073e-01,1.6530060196977964e-01,1.4772293274659627e-02
4.6859210534946139e-01,4.6859210534946139e-01,1.3062508675544189e-02
4.6859210534946139e-01,6.2815789301077229e-02,1.3062508675544189e-02
6.2815789301077229e-02,4.6859210534946139e-01,1.3062508675544189e-02
1.4438813445416683e-02,1.4438813445416683e-02,1.3901936761950035e-03
1.4438813445416683e-02,9.7112237310916660e-01,1.3901936761950035e-03
9.7112237310916660e-01,1.4438813445416683e-02,1.3901936761950035e-03
2.4178428539178334e-01,2.4178428539178334e-01,1.5910886500268326e-02
2.4178428539178334e-01,5.1643142921643337e-01,1.5910886500268326e-02
5.1643142921643337e-01,2.4178428539178334e-01,1.5910886500268326e-02
4.9531034298776999e-01,4.9531034298776999e-01,4.3229171747548303e-03
4.9531034298776999e-01,9.3793140244600171e-03,4.3229171747548303e-03
9.3793140244600171e-03,4.9531034298776999e-01,4.3229171747548303e-03
6.5051340266135227e-01,3.3139974453708954e-01,7.1501664522476823e-03
1.8086852801558195e-02,6.5051340266135227e-01,7.1501664522476823e-03
3.3139974453708954e-01,1.8086852801558195e-02,7.1501664522476823e-03
3.3139974453708954e-01,6.5051340266135227e-01,7.1501664522476823e-03
1.8086852801558195e-02,3.3139974453708954e-01,7.1501664522476823e-03
6.5051340266135227e-01,1.8086852801558195e-02,7.1501664522476823e-03
6.0401128149599703e-01,3.0324716274994218e-01,1.3924888601800415e-02
9.2741555754060789e-02,6.0401128149599703e-01,1.3924888601800415e-02
3.0324716274994218e-01,9.2741555754060789e-02,1.3924888601800415e-02
3.0324716274994218e-01,6.0401128149599703e-01,1.3924888601800415e-02
9.2741555754060789e-02,3.0324716274994218e-01,1.3924888601800415e-02
6.0401128149599703e-01,9.2741555754060789e-02,1.3924888601800415e-02
8.0216825757474164e-01,1.8802805952123716e-01,3.5208367033180486e-03
9.8036829040211992e-03,8.0216825757474164e-01,3.5208367033180486e-03
1.8802805952123716e-01,9.8036829040211992e-03,3.5208367033180486e-03
1.8802805952123716e-01,8.0216825757474164e-01,3.5208367033180486e-03
9.8036829040211992e-03,1.8802805952123716e-01,3.5208367033180486e-03
8.0216825757474164e-01,9.8036829040211992e-03,3.5208367033180486e-03
7.5650560644282838e-01,1.8350466852229685e-01,8.9499191299668643e-03
5.9989725034874763e-02,7.5650560644282838e-01,8.9499191299668643e-03
1.8350466852229685e-01,5.9989725034874763e-02,8.9499191299668643e-03
1.8350466852229685e-01,7.5650560644282838e-01,8.9499191299668643e-03
5.9989725034874763e-02,1.8350466852229685e-01,8.9499191299668643e-03
7.5650560644282838e-01,5.9989725034874763e-02,8.9499191299668643e-03
4.6593843871411816e-01,3.5964594879750461e-01,1.3729100192174881e-02
1.7441561248837728e-01,4.6593843871411816e-01,1.3729100192174881e-02
3.5964594879750461e-01,1.7441561248837728e-01,1.3729100192174881e-02
3.5964594879750461e-01,4.6593843871411816e-01,1.3729100192174881e-02
1.7441561248837728e-01,3.5964594879750461e-01,1.3729100192174881e-02
4.6593843871411816e-01,1.7441561248837728e-01,1.3729100192174881e-02
9.0639484399204151e-01,7.7194371295755432e-02,3.6498984697158812e-03
1.6410784712203058e-02,9.0639484399204151e-01,3.6498984697158812e-03
7.7194371295755432e-02,1.6410784712203058e-02,3.6498984697158812e-03
7.7194371295755432e-02,9.0639484399204151e-01,3.6498984697158812e-03
1.6410784712203058e-02,7.7194371295755432e-02,3.6498984697158812e-03
9.0639484399204151e-01,1.6410784712203058e-02,3.6498984697158812e-03
