xi,eta,w
1.0128650732345634e-01,1.0128650732345634e-01,6.2969590272413570e-02
1.0128650732345634e-01,7.9742698535308731e-01,6.2969590272413570e-02
7.9742698535308731e-01,1.0128650732345634e-01,6.2969590272413570e-02
4.7014206410511511e-01,4.7014206410511511e-01,6.6197076394253096e-02
4.7014206410511511e-01,5.9715871789769781e-02,6.6197076394253096e-02
5.9715871789769781e-02,4.7014206410511511e-01,6.6197076394253096e-02
3.3333333333333331e-01,3.3333333333333331e-01,1.1250000000000000e-01
