xi,eta,w
3.3333333333333331e-01,3.3333333333333331e-01,2.2019355439217139e-02
2.2733221881914287e-01,2.2733221881914287e-01,2.3092393591013491e-02
2.2733221881914287e-01,5.4533556236171421e-01,2.3092393591013491e-02
5.4533556236171421e-01,2.2733221881914287e-01,2.3092393591013491e-02
4.9716257743188741e-01,4.9716257743188741e-01,3.2494533086663583e-03
4.9716257743188741e-01,5.6748451362251817e-03,3.2494533086663583e-03
5.6748451362251817e-03,4.9716257743188741e-01,3.2494533086663583e-03
4.7884973534895459e-01,4.7884973534895459e-01,8.9968071263292013e-03
4.7884973534895459e-01,4.2300529302090828e-02,8.9968071263292013e-03
4.2300529302090828e-02,4.7884973534895459e-01,8.9968071263292013e-03
4.0498603909827197e-01,4.0498603909827197e-01,2.0886552519570677e-02
4.0498603909827197e-01,1.9002792180345607e-01,2.0886552519570677e-02
1.9002792180345607e-01,4.0498603909827197e-01,2.0886552519570677e-02
1.5931216671744432e-02,1.5931216671744432e-02,1.5297738045582333e-03
1.5931216671744432e-02,9.6813756665651118e-01,1.5297738045582333e-03
9.6813756665651118e-01,1.5931216671744432e-02,1.5297738045582333e-03
1.6558326242608140e-01,1.6558326242608140e-01,1.0062175262793237e-03
1.6558326242608140e-01,6.6883347514783720e-01,1.0062175262793237e-03
6.6883347514783720e-01,1.6558326242608140e-01,1.0062175262793237e-03
7.3133604719228723e-02,7.3133604719228723e-02,8.3878054652545605e-03
7.3133604719228723e-02,8.5373279056154261e-01,8.3878054652545605e-03
8.5373279056154261e-01,7.3133604719228723e-02,8.3878054652545605e-03
6.6526073307221389e-01,3.1635283934494723e-01,7.7303745948571374e-03
1.8386427582838871e-02,6.6526073307221389e-01,7.7303745948571374e-03
3.1635283934494723e-01,1.8386427582838871e-02,7.7303745948571374e-03
3.1635283934494723e-01,6.6526073307221389e-01,7.7303745948571374e-03
1.8386427582838871e-02,3.1635283934494723e-01,7.7303745948571374e-03
6.6526073307221389e-01,1.8386427582838871e-02,7.7303745948571374e-03
7.1252198724254556e-01,9.3460751149917531e-02,1.4249945169773712e-02
1.9401726160753691e-01,7.1252198724254556e-01,1.4249945169773712e-02
9.3460751149917531e-02,1.9401726160753691e-01,1.4249945169773712e-02
9.3460751149917531e-02,7.1252198724254556e-01,1.4249945169773712e-02
1.9401726160753691e-01,9.3460751149917531e-02,1.4249945169773712e-02
7.1252198724254556e-01,1.9401726160753691e-01,1.4249945169773712e-02
5.5964836223539327e-01,3.4422901758219321e-01,1.6047175241744798e-02
9.6122620182413521e-02,5.5964836223539327e-01,1.6047175241744798e-02
3.4422901758219321e-01,9.6122620182413521e-02,1.6047175241744798e-02
3.4422901758219321e-01,5.5964836223539327e-01,1.6047175241744798e-02
9.6122620182413521e-02,3.4422901758219321e-01,1.6047175241744798e-02
5.5964836223539327e-01,9.6122620182413521e-02,1.6047175241744798e-02
8.1047659761907687e-01,1.7104724831425794e-01,5.7542908184353555e-03
1.8476154066665196e-02,8.1047659761907687e-01,5.7542908184353555e-03
1.7104724831425794e-01,1.8476154066665196e-02,5.7542908184353555e-03
1.7104724831425794e-01,8.1047659761907687e-01,5.7542908184353555e-03
1.8476154066665196e-02,1.7104724831425794e-01,5.7542908184353555e-03
8.1047659761907687e-01,1.8476154066665196e-02,5.7542908184353555e-03
9.1607564403173114e-01,7.3055996479186494e-02,2.3071532644835515e-03
1.0868359489082366e-02,9.1607564403173114e-01,2.3071532644835515e-03
7.3055996479186494e-02,1.0868359489082366e-02,2.3071532644835515e-03
7.3055996479186494e-02,9.1607564403173114e-01,2.3071532644835515e-03
1.0868359489082366e-02,7.3055996479186494e-02,2.3071532644835515e-03
9.1607564403173114e-01,1.0868359489082366e-02,2.3071532644835515e-03
