xi,eta,w
2.8263924156076339e-02,2.8263924156076339e-02,6.7669312578327806e-03
2.8263924156076339e-02,9.4347215168784737e-01,6.7669312578327806e-03
9.4347215168784737e-01,2.8263924156076339e-02,6.7669312578327806e-03
4.7431132326722258e-01,4.7431132326722258e-01,3.9475627216005491e-02
4.7431132326722258e-01,5.1377353465554831e-02,3.9475627216005491e-02
5.1377353465554831e-02,4.7431132326722258e-01,3.9475627216005491e-02
2.4114332584984882e-01,2.4114332584984882e-01,6.4303963909453032e-02
2.4114332584984882e-01,5.1771334830030236e-01,6.4303963909453032e-02
5.1771334830030236e-01,2.4114332584984882e-01,6.4303963909453032e-02
7.6122274802452383e-01,4.6270877798808910e-02,2.8060072141687677e-02
1.9250637417666727e-01,7.6122274802452383e-01,2.8060072141687677e-02
4.6270877798808910e-02,1.9250637417666727e-01,2.8060072141687677e-02
4.6270877798808910e-02,7.6122274802452383e-01,2.8060072141687677e-02
1.9250637417666727e-01,4.6270877798808910e-02,2.8060072141687677e-02
7.6122274802452383e-01,1.9250637417666727e-01,2.8060072141687677e-02
