xi,eta,w
5.8178409342283044e-01,4.7724367427621997e-02,7.4832400719432243e-03
3.7049153914954763e-01,5.8178409342283044e-01,7.4832400719432243e-03
3.7049153914954763e-01,4.7724367427621997e-02,7.4832400719432243e-03
5.8178409342283044e-01,3.7049153914954763e-01,7.4832400719432243e-03
4.7724367427621997e-02,5.8178409342283044e-01,7.4832400719432243e-03
1.2060051518636437e-01,8.6334694875475260e-01,3.1637966608888696e-03
1.6052536058883016e-02,1.2060051518636437e-01,3.1637966608888696e-03
8.6334694875475260e-01,1.6052536058883016e-02,3.1637966608888696e-03
8.6334694875475260e-01,1.2060051518636437e-01,3.1637966608888696e-03
1.6052536058883016e-02,8.6334694875475260e-01,3.1637966608888696e-03
1.2060051518636437e-01,1.6052536058883016e-02,3.1637966608888696e-03
2.6971477967097876e-03,5.6194938187745500e-02,6.7128015603184793e-04
9.4110791401554472e-01,2.6971477967097876e-03,6.7128015603184793e-04
5.6194938187745500e-02,9.4110791401554472e-01,6.7128015603184793e-04
5.6194938187745500e-02,2.6971477967097876e-03,6.7128015603184793e-04
9.4110791401554472e-01,5.6194938187745500e-02,6.7128015603184793e-04
2.6971477967097876e-03,9.4110791401554472e-01,6.7128015603184793e-04
3.0156332779423625e-03,2.0867500674842135e-01,1.3880384581737770e-03
7.8830935997363627e-01,3.0156332779423625e-03,1.3880384581737770e-03
2.0867500674842135e-01,7.8830935997363627e-01,1.3880384581737770e-03
2.0867500674842135e-01,3.0156332779423625e-03,1.3880384581737770e-03
7.8830935997363627e-01,2.0867500674842135e-01,1.3880384581737770e-03
3.0156332779423625e-03,7.8830935997363627e-01,1.3880384581737770e-03
2.9905375788457020e-02,7.2115124091203409e-01,5.3699222370924707e-03
2.4894338329950894e-01,2.9905375788457020e-02,5.3699222370924707e-03
7.2115124091203409e-01,2.4894338329950894e-01,5.3699222370924707e-03
7.2115124091203409e-01,2.9905375788457020e-02,5.3699222370924707e-03
2.4894338329950894e-01,7.2115124091203409e-01,5.3699222370924707e-03
2.9905375788457020e-02,2.4894338329950894e-01,5.3699222370924707e-03
6.7566542224609888e-03,6.4005544194054187e-01,2.6839028690937264e-03
3.5318790383699716e-01,6.7566542224609888e-03,2.6839028690937264e-03
6.4005544194054187e-01,3.5318790383699716e-01,2.6839028690937264e-03
6.4005544194054187e-01,6.7566542224609888e-03,2.6839028690937264e-03
3.5318790383699716e-01,6.4005544194054187e-01,2.6839028690937264e-03
6.7566542224609888e-03,3.5318790383699716e-01,2.6839028690937264e-03
