xi,eta,w
3.3333333333333331e-01,3.3333333333333331e-01,6.2688039972483281e-03
2.1587430593299198e-01,2.1587430593299198e-01,1.3735934938212107e-02
2.1587430593299198e-01,5.6825138813401610e-01,1.3735934938212107e-02
5.6825138813401610e-01,2.1587430593299198e-01,1.3735934938212107e-02
7.5376766529747272e-02,7.5376766529747272e-02,4.8826361385257118e-03
7.5376766529747272e-02,8.4924646694050543e-01,4.8826361385257118e-03
8.4924646694050543e-01,7.5376766529747272e-02,4.8826361385257118e-03
1.0300828137221793e-02,1.0300828137221793e-02,6.9920976769591173e-04
1.0300828137221793e-02,9.7939834372555645e-01,6.9920976769591173e-04
9.7939834372555645e-01,1.0300828137221793e-02,6.9920976769591173e-04
4.9360221129870019e-01,4.9360221129870019e-01,4.6460513125925916e-03
4.9360221129870019e-01,1.2795577402599623e-02,4.6460513125925916e-03
1.2795577402599623e-02,4.9360221129870019e-01,4.6460513125925916e-03
4.6155093810692532e-01,4.6155093810692532e-01,8.2889380161834635e-03
4.6155093810692532e-01,7.6898123786149353e-02,8.2889380161834635e-03
7.6898123786149353e-02,4.6155093810692532e-01,8.2889380161834635e-03
3.2862140642423698e-01,4.2934057025821037e-01,1.0333881174332539e-02
2.4203802331755264e-01,3.2862140642423698e-01,1.0333881174332539e-02
4.2934057025821037e-01,2.4203802331755264e-01,1.0333881174332539e-02
4.2934057025821037e-01,3.2862140642423698e-01,1.0333881174332539e-02
2.4203802331755264e-01,4.2934057025821037e-01,1.0333881174332539e-02
3.2862140642423698e-01,2.4203802331755264e-01,1.0333881174332539e-02
2.6048036178656875e-01,1.0157753428096944e-01,1.0411117760577253e-02
6.3794210393246176e-01,2.6048036178656875e-01,1.0411117760577253e-02
1.0157753428096944e-01,6.3794210393246176e-01,1.0411117760577253e-02
1.0157753428096944e-01,2.6048036178656875e-01,1.0411117760577253e-02
6.3794210393246176e-01,1.0157753428096944e-01,1.0411117760577253e-02
2.6048036178656875e-01,6.3794210393246176e-01,1.0411117760577253e-02
1.3707423584645531e-01,7.1006597300113017e-01,4.7843192099245304e-03
1.5285979115241455e-01,1.3707423584645531e-01,4.7843192099245304e-03
7.1006597300113017e-01,1.5285979115241455e-01,4.7843192099245304e-03
7.1006597300113017e-01,1.3707423584645531e-01,4.7843192099245304e-03
1.5285979115241455e-01,7.1006597300113017e-01,4.7843192099245304e-03
1.3707423584645531e-01,1.5285979115241455e-01,4.7843192099245304e-03
1.4672694587229979e-01,4.9854547767841484e-01,1.2226385484486232e-02
3.5472757644928543e-01,1.4672694587229979e-01,1.2226385484486232e-02
4.9854547767841484e-01,3.5472757644928543e-01,1.2226385484486232e-02
4.9854547767841484e-01,1.4672694587229979e-01,1.2226385484486232e-02
3.5472757644928543e-01,4.9854547767841484e-01,1.2226385484486232e-02
1.4672694587229979e-01,3.5472757644928543e-01,1.2226385484486232e-02
2.6998977742553290e-02,4.9186722672581999e-02,1.5778653153152671e-03
9.2381429958486472e-01,2.6998977742553290e-02,1.5778653153152671e-03
4.9186722672581999e-02,9.2381429958486472e-01,1.5778653153152671e-03
4.9186722672581999e-02,2.6998977742553290e-02,1.5778653153152671e-03
9.2381429958486472e-01,4.9186722672581999e-02,1.5778653153152671e-03
2.6998977742553290e-02,9.2381429958486472e-01,1.5778653153152671e-03
6.1871785933617029e-02,7.7966014654056937e-01,6.0683981826606488e-03
1.5846806752581355e-01,6.1871785933617029e-02,6.0683981826606488e-03
7.7966014654056937e-01,1.5846806752581355e-01,6.0683981826606488e-03
7.7966014654056937e-01,6.1871785933617029e-02,6.0683981826606488e-03
1.5846806752581355e-01,7.7966014654056937e-01,6.0683981826606488e-03
6.1871785933617029e-02,1.5846806752581355e-01,6.0683981826606488e-03
4.7724367427621997e-02,3.7049153914954763e-01,7.4832400719432243e-03
