xi,eta,w
3.3333333333333331e-01,3.3333333333333331e-01,2.9298142613014298e-02
9.9797608064584320e-03,9.9797608064584320e-03,8.6757561486263378e-04
9.9797608064584320e-03,9.8004047838708308e-01,8.6757561486263378e-04
9.8004047838708308e-01,9.9797608064584320e-03,8.6757561486263378e-04
4.7997789352118841e-01,4.7997789352118841e-01,1.3081891279307261e-02
4.7997789352118841e-01,4.0044212957623171e-02,1.3081891279307261e-02
4.0044212957623171e-02,4.7997789352118841e-01,1.3081891279307261e-02
1.5381195917696691e-01,1.5381195917696691e-01,1.9598646212009145e-03
1.5381195917696691e-01,6.9237608164606623e-01,1.9598646212009145e-03
6.9237608164606623e-01,1.5381195917696691e-01,1.9598646212009145e-03
7.4023477116987813e-02,7.4023477116987813e-02,6.1236798784704335e-03
7.4023477116987813e-02,8.5195304576602437e-01,6.1236798784704335e-03
8.5195304576602437e-01,7.4023477116987813e-02,6.1236798784704335e-03
1.3035468250332999e-01,1.3035468250332999e-01,1.4099814251628980e-02
1.3035468250332999e-01,7.3929063499334002e-01,1.4099814251628980e-02
7.3929063499334002e-01,1.3035468250332999e-01,1.4099814251628980e-02
2.3061722602665313e-01,2.3061722602665313e-01,2.5443543592979744e-02
2.3061722602665313e-01,5.3876554794669373e-01,2.5443543592979744e-02
5.3876554794669373e-01,2.3061722602665313e-01,2.5443543592979744e-02
4.2233208341914780e-01,4.2233208341914780e-01,2.5226719950801800e-02
4.2233208341914780e-01,1.5533583316170441e-01,2.5226719950801800e-02
1.5533583316170441e-01,4.2233208341914780e-01,2.5226719950801800e-02
7.8623738593466097e-01,1.9061636003190091e-01,8.5318221061167262e-03
2.3146254033438118e-02,7.8623738593466097e-01,8.5318221061167262e-03
1.9061636003190091e-01,2.3146254033438118e-02,8.5318221061167262e-03
1.9061636003190091e-01,7.8623738593466097e-01,8.5318221061167262e-03
2.3146254033438118e-02,1.9061636003190091e-01,8.5318221061167262e-03
7.8623738593466097e-01,2.3146254033438118e-02,8.5318221061167262e-03
6.3055214366060741e-01,3.6232313774354713e-01,4.8417332127533002e-03
7.1247185958454584e-03,6.3055214366060741e-01,4.8417332127533002e-03
3.6232313774354713e-01,7.1247185958454584e-03,4.8417332127533002e-03
3.6232313774354713e-01,6.3055214366060741e-01,4.8417332127533002e-03
7.1247185958454584e-03,3.6232313774354713e-01,4.8417332127533002e-03
6.3055214366060741e-01,7.1247185958454584e-03,4.8417332127533002e-03
6.2657732985630632e-01,2.9077120588366739e-01,1.8192877964242501e-02
8.2651464260026286e-02,6.2657732985630632e-01,1.8192877964242501e-02
2.9077120588366739e-01,8.2651464260026286e-02,1.8192877964242501e-02
2.9077120588366739e-01,6.2657732985630632e-01,1.8192877964242501e-02
8.2651464260026286e-02,2.9077120588366739e-01,1.8192877964242501e-02
6.2657732985630632e-01,8.2651464260026286e-02,1.8192877964242501e-02
9.1420998492962546e-01,7.1165710877750768e-02,3.4823316867592063e-03
1.4624304192623769e-02,9.1420998492962546e-01,3.4823316867592063e-03
7.1165710877750768e-02,1.4624304192623769e-02,3.4823316867592063e-03
7.1165710877750768e-02,9.1420998492962546e-01,3.4823316867592063e-03
1.4624304192623769e-02,7.1165710877750768e-02,3.4823316867592063e-03
9.1420998492962546e-01,1.4624304192623769e-02,3.4823316867592063e-03
